OrderID,IdentityFeature1,IdentityFeature2,IdentityFeature3,IdentityFeature4,IdentityFeature5,IdentityFeature6,IdentityFeature7,IdentityFeature8,IdentityFeature9,IdentityFeature10,IdentityFeature11,IdentityFeature12,IdentityFeature13,IdentityFeature14,IdentityFeature15,IdentityFeature16,IdentityFeature17,IdentityFeature18,IdentityFeature19,IdentityFeature20,IdentityFeature21,IdentityFeature22,IdentityFeature23,IdentityFeature24,IdentityFeature25,IdentityFeature26,IdentityFeature27,IdentityFeature28,IdentityFeature29,IdentityFeature30,IdentityFeature31,IdentityFeature32,IdentityFeature33,IdentityFeature34,IdentityFeature35,IdentityFeature36,IdentityFeature37,IdentityFeature38,DeviceOS,DeviceModel
3503624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3545212,-25.0,145295.0,,,0.0,0.0,,,0.0,0.0,93.5500030517578,NotFound,27.0,,New,NotFound,225.0,,607.0,507.0,,,,,,,,Found,Found,,firefox 59.0,,,,F,F,T,F,desktop,rv:59.0
3431883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3552488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3377633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3212636,-5.0,389605.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,-360.0,Found,Found,166.0,,215.0,280.0,,,,,,,,Found,Found,Windows 7,ie 11.0 for desktop,24.0,1280x1024,match_status:2,T,F,T,T,desktop,Trident/7.0
3067686,-5.0,95608.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,-300.0,Found,Found,166.0,15.0,529.0,161.0,,,,,,,,Found,Found,Windows 10,firefox 57.0,24.0,1600x900,match_status:2,T,F,T,F,desktop,Windows
3438111,-10.0,257786.0,,,0.0,0.0,,,,,100.0,NotFound,64.0,,New,NotFound,225.0,,427.0,595.0,,,,,,,,New,NotFound,,chrome 65.0 for android,,,,F,F,T,F,mobile,SM-G955F Build/R16NW
3396115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3141032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3543091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3256120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3497229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3384266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3262956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3341530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3184672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3571551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3040468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3251666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3197175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3295111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3068427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3425080,0.0,11521.0,,,0.0,0.0,,,,,100.0,Found,41.0,-300.0,New,NotFound,166.0,,397.0,533.0,,,,,,,,New,NotFound,iOS 11.3.0,mobile safari generic,32.0,2224x1668,match_status:1,T,F,T,T,mobile,iOS Device
3438466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3152187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3396083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3510831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3231897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3088941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3218118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3310085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3209669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3113895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3263091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3347038,-5.0,2039.0,0.0,0.0,2.0,-49.0,17.0,-50.0,0.0,0.0,100.0,Found,55.0,-300.0,Found,Found,166.0,13.0,122.0,256.0,252.0,14.0,IP_PROXY:TRANSPARENT,11.0,321.0,102.0,Found,Found,Found,Linux,chrome generic,24.0,1920x1080,match_status:2,T,F,T,T,desktop,
3438461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3072367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3261474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3302127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3203507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3483102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3503138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3442772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3118182,-35.0,87431.0,,,2.0,-5.0,,,0.0,0.0,95.08000183105467,NotFound,62.0,,Unknown,,166.0,13.0,216.0,214.0,,,,,,,,Found,Found,,ie 11.0 for desktop,,,,F,F,F,F,,rv:11.0
3498028,-5.0,61930.0,,,14.0,-100.0,,,,,100.0,NotFound,52.0,-360.0,New,NotFound,166.0,13.0,410.0,280.0,,,,,,,,New,NotFound,Windows 10,chrome generic,24.0,1680x1050,match_status:2,T,F,T,T,desktop,Windows
3293594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3458476,-5.0,198289.0,,,0.0,0.0,,,,,100.0,NotFound,52.0,,New,NotFound,225.0,,410.0,507.0,,,,,,,,New,NotFound,,chrome 65.0,,,,F,F,T,F,desktop,Windows
3315246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3148086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3427469,-5.0,279032.0,,,0.0,0.0,,,,,100.0,NotFound,64.0,,New,NotFound,225.0,,266.0,638.0,,,,,,,,New,NotFound,,chrome 65.0 for android,,,,F,F,T,F,mobile,SM-N950F Build/NMF26X
3376595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3506113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3474335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3141541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3118832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3318537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3381427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3029056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3077310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3550862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3304534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3543142,-20.0,182661.0,,,1.0,-19.0,,,,,100.0,NotFound,27.0,,Unknown,,225.0,15.0,417.0,612.0,,,,,,,,New,NotFound,,mobile safari 11.0,,,,F,F,F,F,mobile,
3562075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3368905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3339009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3505937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3456131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3008577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3281620,-5.0,40509.0,,,0.0,0.0,,,0.0,0.0,100.0,Found,33.0,-480.0,New,NotFound,166.0,,529.0,222.0,,,,,,,,Found,Found,iOS 11.2.0,mobile safari generic,32.0,2208x1242,match_status:1,T,F,F,T,mobile,iOS Device
3400242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3481023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3252452,-5.0,102400.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,49.0,-600.0,Found,Found,166.0,,393.0,216.0,,,,,,,,Found,Found,iOS 11.2.5,mobile safari generic,32.0,2208x1242,match_status:1,T,F,T,F,mobile,iOS Device
3404851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3501385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3552206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3416102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3354939,-5.0,145644.0,,,8.0,-9.0,,,,,100.0,NotFound,52.0,,New,NotFound,225.0,,266.0,139.0,,,,,,,,New,NotFound,,chrome 63.0,,,,F,F,T,F,desktop,Windows
3514493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3367863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3571239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3370461,0.0,2192.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,Found,,-300.0,Found,Found,166.0,15.0,352.0,600.0,,,,,,,,Found,Found,Linux,chrome generic,24.0,,match_status:2,T,F,T,T,desktop,
3297610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3306024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3346279,-5.0,99762.0,,,0.0,0.0,,,,,100.0,NotFound,52.0,-300.0,New,NotFound,166.0,,542.0,489.0,,,,,,,,New,NotFound,Windows 10,chrome 63.0,24.0,1600x900,match_status:2,T,F,T,T,desktop,Windows
3471665,-5.0,371135.0,,,0.0,0.0,,,,,100.0,NotFound,64.0,,New,NotFound,225.0,,254.0,507.0,,,,,,,,New,NotFound,,chrome 65.0 for android,,,,F,F,T,F,mobile,SM-J710MN Build/MMB29K
3411406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3358303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3248557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3180484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3343528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3525195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3549186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3029929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3340395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3063396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3553072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3423458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3159759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3194978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3348671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3292557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3287194,-10.0,55195.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,33.0,-360.0,Found,Found,225.0,,153.0,563.0,,,,,,,,Found,Found,,safari generic,,,,F,T,F,F,desktop,
2992267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3490352,-5.0,2902.0,,,0.0,0.0,,,,,100.0,NotFound,64.0,-300.0,New,NotFound,166.0,,542.0,533.0,,,,,,,,New,NotFound,iOS,mobile safari generic,32.0,2048x1536,match_status:1,T,F,F,T,mobile,iOS Device
3366918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3117404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3017708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3427102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3392807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2993181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3532160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3008504,-5.0,114115.0,,,16.0,-23.0,,,1.0,0.0,93.75,NotFound,52.0,-300.0,New,NotFound,166.0,13.0,410.0,178.0,,,,,,,,Found,Found,Windows 7,ie 11.0 for desktop,24.0,,match_status:2,T,F,T,T,desktop,rv:11.0
3513369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2993388,0.0,58199.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,,-300.0,Found,Found,166.0,15.0,633.0,391.0,,,,,,,,Found,Found,Mac OS X 10_11_6,safari generic,24.0,2560x1600,match_status:2,T,T,T,T,desktop,MacOS
3265070,-10.0,731075.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,-360.0,Found,Found,166.0,,216.0,214.0,,,,,,,,Found,Found,Windows 10,opera,24.0,1366x768,match_status:1,T,F,T,F,desktop,Windows
3082745,0.0,117996.0,,,0.0,0.0,,,,,100.0,NotFound,,-300.0,New,NotFound,166.0,,312.0,278.0,,,,,,,,New,NotFound,Android 7.0,chrome 63.0 for android,32.0,2560x1440,match_status:2,T,F,T,T,mobile,SAMSUNG-SM-G890A Build/NRD90M
3349135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3367991,-5.0,197061.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,-300.0,Found,Found,166.0,,312.0,597.0,,,,,,,,Found,Found,Windows 10,ie 11.0 for tablet,24.0,1366x768,match_status:2,T,F,T,T,desktop,Trident/7.0
3008922,-5.0,87229.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,20.0,,Found,Found,148.0,,410.0,358.0,,,,,,,,Found,Found,,chrome 62.0,,,,F,F,T,T,desktop,
3113629,-5.0,85232.0,,,3.0,-15.0,,,,,100.0,NotFound,49.0,-300.0,New,NotFound,166.0,15.0,352.0,489.0,,,,,,,,New,NotFound,iOS 11.1.2,mobile safari 11.0,32.0,1334x750,match_status:1,T,F,F,F,mobile,iOS Device
3011947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3094741,0.0,164568.0,,,0.0,0.0,,,,,100.0,NotFound,,-300.0,New,NotFound,166.0,15.0,100.0,549.0,,,,,,,,New,NotFound,Mac OS X 10_13_2,safari generic,24.0,2880x1800,match_status:2,T,F,T,T,desktop,MacOS
3380600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3510001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3344504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3333439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3043586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3410369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3317712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3298160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3331715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3144319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3278009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3118680,0.0,59139.0,,,0.0,0.0,,,2.0,0.0,95.7699966430664,NotFound,,-300.0,New,NotFound,166.0,,542.0,597.0,,,,,,,,Found,Found,Mac OS X 10_13_2,safari generic,24.0,1920x1080,match_status:2,T,F,T,T,desktop,MacOS
3286028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3003750,-5.0,272615.0,,,0.0,0.0,,,,,100.0,NotFound,52.0,,New,NotFound,225.0,,266.0,325.0,,,,,,,,New,NotFound,,chrome 62.0,,,,F,F,T,T,desktop,Windows
3101681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3051213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3027459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3093400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3464095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3171940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3577030,-20.0,259756.0,,,0.0,-9.0,,,,,100.0,NotFound,27.0,,New,NotFound,225.0,15.0,290.0,401.0,,,,,,,,New,NotFound,,chrome 66.0 for android,,,,F,F,T,F,mobile,M4 SS4457 Build/MRA58K
3429802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3517342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3127775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3531727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3573245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3563229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3039948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3577243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3565719,-15.0,542.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,27.0,,Found,Found,110.0,15.0,410.0,236.0,,,,,,,,Found,Found,,,,,match_status:2,T,F,T,F,desktop,
3413762,-5.0,139526.0,2.0,0.0,0.0,0.0,,,2.0,0.0,100.0,NotFound,52.0,,Found,Found,225.0,,266.0,507.0,,,,,,,,Found,Found,,chrome 65.0,,,,F,F,T,F,desktop,Windows
3508468,-5.0,60293.0,0.0,0.0,3.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,-420.0,Found,Found,166.0,,193.0,214.0,,,,,,,,Found,Found,Windows 10,chrome 66.0,24.0,1920x1080,match_status:2,T,F,T,T,desktop,Windows
3275812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3199202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3547769,-10.0,5469.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,Found,52.0,-300.0,Found,Found,166.0,,633.0,533.0,,,,,,,,Found,Found,Windows 10,edge 16.0,24.0,1366x768,match_status:2,T,F,T,F,desktop,Windows
3475869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3249269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3559743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3210960,-5.0,83063.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,49.0,,Found,Found,225.0,15.0,254.0,507.0,,,,,,,,Found,Found,,safari generic,,,,F,F,T,F,desktop,
3391401,-5.0,224568.0,0.0,0.0,-8.0,-29.0,,,0.0,0.0,100.0,NotFound,64.0,,Found,Found,225.0,13.0,266.0,595.0,,,,,,,,Found,Found,,chrome 64.0 for android,,,,F,F,T,F,mobile,LG-K500 Build/MMB29M
